Aeroport,Code_aeroport,Ville,Pays
Barcelona International Airport,BCN,Barcelona,Spain
Badajoz Airport,BJZ,Badajoz,Spain
A Coruña Airport,LCG,La Coruna,Spain
Armilla Air Base,\N,Granada,Spain
Girona Airport,GRO,Gerona,Spain
Federico Garcia Lorca Airport,GRX,Granada,Spain
Getafe Air Base,\N,Madrid,Spain
Ibiza Airport,IBZ,Ibiza,Spain
Jerez Airport,XRY,Jerez,Spain
San Javier Airport,MJV,Murcia,Spain
Adolfo Suárez Madrid–Barajas Airport,MAD,Madrid,Spain
Málaga Airport,AGP,Malaga,Spain
Menorca Airport,MAH,Menorca,Spain
Moron Air Base,OZP,Sevilla,Spain
Ocaña Airport,\N,Ocana,Spain
Pamplona Airport,PNA,Pamplona,Spain
Alcantarilla Air Base,\N,Murcia,Spain
Reus Air Base,REU,Reus,Spain
Rota Naval Station Airport,ROZ,Rota,Spain
Salamanca Airport,SLM,Salamanca,Spain
Son Bonet Airport,\N,Son Bonet,Spain
San Luis Airport,\N,San Luis,Spain
San Sebastian Airport,EAS,San Sebastian,Spain
Santiago de Compostela Airport,SCQ,Santiago,Spain
Pirineus - la Seu d'Urgel Airport,LEU,Seo De Urgel,Spain
Torrejón Airport,TOJ,Madrid,Spain
Valencia Airport,VLC,Valencia,Spain
Valladolid Airport,VLL,Valladolid,Spain
Vitoria/Foronda Airport,VIT,Vitoria,Spain
Vigo Airport,VGO,Vigo,Spain
Santander Airport,SDR,Santander,Spain
Zaragoza Air Base,ZAZ,Zaragoza,Spain
Sevilla Airport,SVQ,Sevilla,Spain
Calais-Dunkerque Airport,CQF,Calais,France
Péronne-Saint-Quentin Airport,\N,Peronne,France
Nangis-Les Loges Airport,\N,Nangis,France
Bagnoles-de-l'Orne-Couterne Airport,\N,Bagnole-de-l'orne,France
Albert-Bray Airport,BYF,Albert,France
Le Touquet-Côte d'Opale Airport,LTQ,Le Tourquet,France
Valenciennes-Denain Airport,XVS,Valenciennes,France
Amiens-Glisy Airport,\N,Amiens,France
Agen-La Garenne Airport,AGF,Agen,France
Cazaux (BA 120,\N,Cazaux,France
Bordeaux-Mérignac Airport,BOD,Bordeaux,France
Bergerac-Roumanière Airport,EGC,Bergerac,France
Toulouse-Francazal (BA 101,\N,Toulouse,France
Cognac-Châteaubernard (BA 709,CNG,Cognac,France
Poitiers-Biard Airport,PIS,Poitiers,France
Montluçon-Guéret Airport,MCU,Montlucon-gueret,France
Limoges Airport,LIG,Limoges,France
Mont-de-Marsan (BA 118,\N,Mont-de-marsan,France
Niort-Souché Airport,NIT,Niort,France
Toulouse-Blagnac Airport,TLS,Toulouse,France
Pau Pyrénées Airport,PUF,Pau,France
Muret-Lherm Airport,\N,La Rochelle,France
Tarbes-Lourdes-Pyrénées Airport,LDE,Tarbes,France
Angoulême-Brie-Champniers Airport,ANG,Angouleme,France
Brive Souillac Airport,BVE,Brive,France
Périgueux-Bassillac Airport,PGX,Perigueux,France
Biarritz-Anglet-Bayonne Airport,BIQ,Biarritz-bayonne,France
Cahors-Lalbenque Airport,ZAO,Cahors,France
Saint-Girons-Antichan Airport,\N,St.-girons,France
Arcachon-La Teste-de-Buch Airport,\N,Arcachon,France
Albi-Le Séquestre Airport,LBI,Albi,France
Castres-Mazamet Airport,DCM,Castres,France
Toulouse-Lasbordes Airport,\N,Toulouse,France
Millau-Larzac Airfield,\N,Millau,France
Graulhet-Montdragon Airport,\N,Graulhet,France
Rodez-Marcillac Airport,RDZ,Rodez,France
Ussel-Thalamy Airport,\N,Ussel,France
Villeneuve-sur-Lot Airport,\N,Villeneuve-sur-lot,France
Royan-Médis Airport,RYN,Royan,France
Mimizan Airport,\N,Mimizan,France
Aire-sur-l'Adour Airport,\N,Aire-sur-l'adour,France
Montauban Airport,XMW,Montauban,France
Auch-Lamothe Airport,\N,Auch,France
Libourne-Artigues-de-Lussac Airport,\N,Libourne,France
Pamiers-Les Pujols Airport,\N,Pamiers,France
Marmande-Virazeil Airport,\N,Marmande,France
Rochefort-Saint-Agnant (BA 721,RCO,Rochefort,France
Pontivy Airport,\N,Pontivy,France
Aubigny-sur-Nère Airport,\N,Aubigny-sur-nere,France
Guiscriff Scaer Airport,\N,Guiscriff-scaer,France
Ancenis Airport,\N,Ancenis,France
Brienne-le-Château Airport,\N,Brienne-le Chateau,France
Colmar-Houssen Airport,CMR,Colmar,France
Beaune-Challanges Airport,\N,Beaune,France
Dole-Tavaux Airport,DLE,Dole,France
Joigny Airport,\N,Joigny,France
Verdun-Le Rozelier Airfield,\N,Verdun,France
Aubenas-Ardèche Méridional Airport,OBS,Aubenas-vals-lanas,France
Le Puy-Loudes Airport,LPY,Le Puy,France
Saint-Flour-Coltines Airport,\N,St.-flour,France
Bourg-Ceyzériat Airport,\N,Bourg,France
Villefranche-Tarare Airport,\N,Vilefrance,France
Moulins-Montbeugny Airport,\N,Moulins,France
Saint-Affrique-Belmont Airport,\N,St.-afrique-belmont,France
Cassagnes-Bégonhès Airport,\N,Cassagnes-beghones,France
Metz-Nancy-Lorraine Airport,ETZ,Metz,France
Bastia-Poretta Airport,BIA,Bastia,France
Calvi-Sainte-Catherine Airport,CLY,Calvi,France
Figari Sud-Corse Airport,FSC,Figari,France
Ajaccio-Napoléon Bonaparte Airport,AJA,Ajaccio,France
Propriano Airport,PRP,Propriano,France
Solenzara (BA 126,SOZ,Solenzara,France
Corte Airport,\N,Corte,France
Auxerre-Branches Airport,AUF,Auxerre,France
Chambéry-Savoie Airport,CMF,Chambery,France
Clermont-Ferrand Auvergne Airport,CFE,Clermont-Ferrand,France
Bourges Airport,BOU,Bourges,France
Chambéry-Challes-les-Eaux Airport,\N,Chambery,France
Chalon-Champforgeuil Airport,\N,Chalon,France
Annemasse Airport,QNJ,Annemasse,France
Lyon Saint-Exupéry Airport,LYS,Lyon,France
Mâcon-Charnay Airport,\N,Macon,France
Saint-Yan Airport,SYT,St.-yan,France
Roanne-Renaison Airport,RNE,Roanne,France
Annecy-Haute-Savoie-Mont Blanc Airport,NCY,Annecy,France
Grenoble-Isère Airport,GNB,Grenoble,France
Montluçon-Domérat Airport,\N,Montlucon,France
Valence-Chabeuil Airport,VAF,Valence,France
Vichy-Charmeil Airport,VHY,Vichy,France
Aurillac Airport,AUR,Aurillac,France
"Châteauroux-Déols ""Marcel Dassault"" Airport",CHR,Chateauroux,France
Lyon-Bron Airport,LYN,Lyon,France
Aix-en-Provence (BA 114,\N,Aix-les-milles,France
Le Luc-Le Cannet Airport,\N,Le Luc,France
Cannes-Mandelieu Airport,CEQ,Cannes,France
Saint-Étienne-Bouthéon Airport,EBU,St-Etienne,France
Istres Le Tubé/Istres Air Base (BA 125,\N,Istres,France
Carcassonne Airport,CCF,Carcassonne,France
Marseille Provence Airport,MRS,Marseille,France
Nice-Côte d'Azur Airport,NCE,Nice,France
Orange-Caritat (BA 115,XOG,Orange,France
Perpignan-Rivesaltes (Llabanère,PGF,Perpignan,France
Le Castellet Airport,CTT,Le Castellet,France
Alès-Deaux Airport,\N,Ales,France
Montpellier-Méditerranée Airport,MPL,Montpellier,France
Béziers-Vias Airport,BZR,Beziers,France
Avignon-Caumont Airport,AVN,Avignon,France
Salon-de-Provence (BA 701,\N,Salon,France
Lézignan-Corbières Airfield,\N,Lezignan-corbieres,France
Mende-Brenoux Airfield,MEN,Mende,France
Carpentras Airport,\N,Carpentras,France
Avord (BA 702,\N,Avord,France
Paris Beauvais Tillé Airport,BVA,Beauvais,France
Châteaudun (BA 279,\N,Chateaudun,France
Saumur-Saint-Florent Airport,\N,Saumur,France
Évreux-Fauville (BA 105,EVX,Evreux,France
Le Havre Octeville Airport,LEH,Le Havre,France
Abbeville,XAB,Abbeville,France
Orléans-Bricy (BA 123,ORE,Orleans,France
Châlons-Vatry Airport,XCR,Chalons,France
Rouen Airport,URO,Rouen,France
Tours-Val-de-Loire Airport,TUF,Tours,France
Cholet Le Pontreau Airport,CET,Cholet,France
Laval-Entrammes Airport,LVA,Laval,France
Orléans-Saint-Denis-de-l'Hôtel Airport,\N,Orleans,France
Paris-Le Bourget Airport,LBG,Paris,France
Creil Air Base,CSF,Creil,France
Charles de Gaulle International Airport,CDG,Paris,France
Coulommiers-Voisins Airport,\N,Coulommiers,France
Melun-Villaroche Air Base,\N,Melun,France
Toussus-le-Noble Airport,TNF,Toussous-le-noble,France
Paris-Orly Airport,ORY,Paris,France
Pontoise - Cormeilles-en-Vexin Airport,POX,Pontoise,France
Villacoublay-Vélizy (BA 107,VIY,Villacoublay,France
Reims-Prunay Airport,\N,Reims,France
Troyes-Barberey Airport,\N,Troyes,France
Lunéville-Croismare Airport,\N,Luneville,France
Étain-Rouvres Air Base,\N,Etain,France
Autun-Bellevue Airport,\N,Autun,France
Nevers-Fourchambault Airport,NVS,Nevers,France
Cambrai-Épinoy (BA 103,\N,Cambrai,France
Maubeuge-Élesmes Airport,XME,Maubeuge,France
Besançon-La Vèze Airport,\N,Besancon-la-veze,France
Phalsbourg-Bourscheid Air Base,\N,Phalsbourg,France
Lille-Lesquin Airport,LIL,Lille,France
Merville-Calonne Airport,HZB,Merville,France
Charleville-Mézières Airport,XCZ,Charleville,France
Vesoul-Frotey Airport,\N,Vesoul-frotey,France
Brest Bretagne Airport,BES,Brest,France
Cherbourg-Maupertus Airport,CER,Cherbourg,France
Dinard-Pleurtuit-Saint-Malo Airport,DNR,Dinard,France
La Baule-Escoublac Airport,LBY,La Baule,France
Granville Airport,GFR,Granville,France
Deauville-Saint-Gatien Airport,DOL,Deauville,France
Lorient South Brittany (Bretagne Sud,LRT,Lorient,France
La Roche-sur-Yon Airport,EDM,La Roche-sur-yon,France
Landivisiau Air Base,LDV,Landivisiau,France
Caen-Carpiquet Airport,CFR,Caen,France
Lanvéoc-Poulmic Air Base,\N,Lanvedoc,France
Le Mans-Arnage Airport,LME,Le Mans,France
Rennes-Saint-Jacques Airport,RNS,Rennes,France
Lannion-Côte de Granit Airport,LAI,Lannion,France
Quimper-Cornouaille Airport,UIP,Quimper,France
Nantes Atlantique Airport,NTE,Nantes,France
Saint-Brieuc-Armor Airport,SBK,St.-brieuc Armor,France
Morlaix-Ploujean Airport,MXN,Morlaix,France
Vannes-Meucon Airport,VNE,Vannes,France
Saint-Nazaire-Montoir Airport,SNR,St.-nazaire,France
EuroAirport Basel-Mulhouse-Freiburg Airport,BSL,Mulhouse,France
Colmar-Meyenheim Air Base,\N,Colmar,France
Dijon-Bourgogne Airport,DIJ,Dijon,France
Metz-Frescaty (BA 128,MZM,Metz,France
Épinal-Mirecourt Airport,EPL,Epinal,France
Haguenau Airport,\N,Haguenau,France
Saint-Dizier-Robinson (BA 113,\N,St.-dizier,France
Montbéliard-Courcelles Airfield,\N,Montbeliard,France
Nancy-Essey Airport,ENC,Nancy,France
Nancy-Ochey (BA 133,\N,Nancy,France
Pontarlier Airport,\N,Pontarlier,France
Reims-Champagne (BA 112,RHE,Reims,France
Strasbourg Airport,SXB,Strasbourg,France
Luxeuil-Saint-Sauveur (BA 116,\N,Luxeuil,France
Cuers-Pierrefeu Airport,\N,Cuers,France
Toulon-Hyères Airport,TLN,Hyeres,France
Nîmes-Arles-Camargue Airport,FNI,Nimes,France
Miquelon Airport,MQC,Miquelon,Saint Pierre and Miquelon
St Pierre Airport,FSP,St.-pierre,Saint Pierre and Miquelon
Ambérieu Air Base (BA 278,\N,Amberieu,France
Damblain Airport,\N,Damblain,France
Andravida Air Base,PYR,Andravida,Greece
Agrinion Air Base,AGQ,Agrinion,Greece
Dimokritos Airport,AXD,Alexandroupolis,Greece
Alexandria Airport,\N,Alexandria,Greece
Nea Anchialos Airport,VOL,Nea Anghialos,Greece
Elefsis Airport,\N,Elefsis,Greece
Chios Island National Airport,JKH,Chios,Greece
Ioannina Airport,IOA,Ioannina,Greece
Heraklion International Nikos Kazantzakis Airport,HER,Heraklion,Greece
Kastoria National Airport,KSO,Kastoria,Greece
Kithira Airport,KIT,Kithira,Greece
Kefallinia Airport,EFL,Keffallinia,Greece
Kalamata Airport,KLX,Kalamata,Greece
Amigdhaleon Airport,\N,Kavala,Greece
Kos Airport,KGS,Kos,Greece
Karpathos Airport,AOK,Karpathos,Greece
Ioannis Kapodistrias International Airport,CFU,Kerkyra/corfu,Greece
Kasos Airport,KSJ,Kasos,Greece
Alexander the Great International Airport,KVA,Kavala,Greece
Filippos Airport,KZI,Kozani,Greece
Leros Airport,LRS,Leros,Greece
Limnos Airport,LXS,Limnos,Greece
Larisa Airport,LRA,Larissa,Greece
Megara Airport,\N,Megara,Greece
Mikonos Airport,JMK,Mykonos,Greece
Mytilene International Airport,MJT,Mytilini,Greece
Aktion National Airport,PVK,Preveza,Greece
Maritsa Airport,\N,Rhodos,Greece
Diagoras Airport,RHO,Rhodos,Greece
Araxos Airport,GPA,Patras,Greece
Chania International Airport,CHQ,Chania,Greece
Skiathos Island National Airport,JSI,Skiathos,Greece
Samos Airport,SMI,Samos,Greece
Sparti Airport,SPJ,Sparti,Greece
Santorini Airport,JTR,Thira,Greece
Sitia Airport,JSH,Sitia,Greece
Stefanovikion Air Base,\N,Stefanovikion,Greece
Skiros Airport,SKU,Skiros,Greece
Tanagra Air Base,\N,Tanagra,Greece
Kasteli Airport,\N,Kasteli,Greece
Tripolis Airport,\N,Tripolis,Greece
Thessaloniki Macedonia International Airport,SKG,Thessaloniki,Greece
Tatoi Airport,\N,Dekelia,Greece
"Zakynthos International Airport ""Dionysios Solomos""",ZTH,Zakynthos,Greece
Budapest Liszt Ferenc International Airport,BUD,Budapest,Hungary
Debrecen International Airport,DEB,Debrecen,Hungary
Kecskemét Airport,\N,Kecskemet,Hungary
Nyíregyháza Airport,\N,Nyirregyhaza,Hungary
Őcsény Airport,\N,Ocseny,Hungary
Szentkirályszabadja Airport,\N,Azentkilyszabadja,Hungary
Szolnok Air Base,\N,Szolnok,Hungary
Amendola Air Base,\N,Amendola,Italy
Crotone Airport,CRV,Crotone,Italy
Bari Karol Wojtyła Airport,BRI,Bari,Italy
"Foggia ""Gino Lisa"" Airport",FOG,Foggia,Italy
"Taranto-Grottaglie ""Marcello Arlotta"" Airport",TAR,Grottaglie,Italy
Lecce Galatina Air Base,LCC,Lecce,Italy
Pescara International Airport,PSR,Pescara,Italy
Brindisi – Salento Airport,BDS,Brindisi,Italy
Gioia Del Colle Air Base,\N,Gioia Del Colle,Italy
Lamezia Terme Airport,SUF,Lamezia,Italy
Catania-Fontanarossa Airport,CTA,Catania,Italy
Lampedusa Airport,LMP,Lampedusa,Italy
Pantelleria Airport,PNL,Pantelleria,Italy
Falcone–Borsellino Airport,PMO,Palermo,Italy
Palermo-Boccadifalco Airport,\N,Palermo,Italy
Reggio Calabria Airport,REG,Reggio Calabria,Italy
Vincenzo Florio Airport Trapani-Birgi,TPS,Trapani,Italy
Sigonella Navy Air Base,NSY,Sigonella,Italy
Alghero-Fertilia Airport,AHO,Alghero,Italy
Decimomannu Air Base,DCI,Decimomannu,Italy
Cagliari Elmas Airport,CAG,Cagliari,Italy
Olbia Costa Smeralda Airport,OLB,Olbia,Italy
Tortolì Airport,TTB,Tortoli,Italy
Torino-Aeritalia Airport,\N,Turin,Italy
Milano-Bresso Airfield,\N,Milano,Italy
Malpensa International Airport,MXP,Milano,Italy
Il Caravaggio International Airport,BGY,Bergamo,Italy
Turin Airport,TRN,Torino,Italy
Villanova D'Albenga International Airport,ALL,Albenga,Italy
Genoa Cristoforo Colombo Airport,GOA,Genoa,Italy
Milano Linate Airport,LIN,Milan,Italy
Cameri Air Base [MIL],\N,Cameri,Italy
Parma Airport,PMF,Parma,Italy
Piacenza San Damiano Air Base,\N,Piacenza,Italy
Cuneo International Airport,CUF,Cuneo,Italy
Aviano Air Base,AVB,Aviano,Italy
Bolzano Airport,BZO,Bolzano,Italy
Cervia Air Base,\N,Cervia,Italy
Bologna Guglielmo Marconi Airport,BLQ,Bologna,Italy
Treviso-Sant'Angelo Airport,TSF,Treviso,Italy
Rivolto Air Base,\N,Rivolto,Italy
Forlì Airport,FRL,Forli,Italy
Ghedi Air Base,\N,Ghedi,Italy
Verona-Boscomantico Airport,\N,Verona,Italy
Brescia Airport,VBS,Brescia,Italy
Trieste–Friuli Venezia Giulia Airport,TRS,Ronchi De Legionari,Italy
Federico Fellini International Airport,RMI,Rimini,Italy
Istrana Air Base,\N,Treviso,Italy
Vicenza Airport,VIC,Vicenza,Italy
Padova Airport,QPA,Padova,Italy
Verona Villafranca Airport,VRN,Villafranca,Italy
Venice Marco Polo Airport,VCE,Venice,Italy
Siena-Ampugnano Airport,SAY,Siena,Italy
Ciampino–G. B. Pastine International Airport,CIA,Rome,Italy
Pratica Di Mare Air Base,\N,Pratica Di Mare,Italy
Leonardo da Vinci–Fiumicino Airport,FCO,Rome,Italy
Guidonia Air Base,\N,Guidonia,Italy
Marina Di Campo Airport,EBA,Marina Di Campo,Italy
Latina Air Base,QLT,Latina,Italy
Grazzanise Air Base,\N,Grazzanise,Italy
Naples International Airport,NAP,Naples,Italy
Pisa International Airport,PSA,Pisa,Italy
Peretola Airport,FLR,Florence,Italy
Grosseto Air Base,GRS,Grosseto,Italy
Urbe Airport,\N,Rome,Italy
Viterbo Airport,\N,Viterbo,Italy
Perugia San Francesco d'Assisi – Umbria International Airport,PEG,Perugia,Italy
Cerklje Airport,\N,Cerklje,Slovenia
Ljubljana Jože Pučnik Airport,LJU,Ljubljana,Slovenia
Maribor Airport,MBX,Maribor,Slovenia
Portoroz Airport,POW,Portoroz,Slovenia
Slovenj Gradec Airport,\N,Slovenj Gradec,Slovenia
České Budějovice Airport,\N,Ceske Budejovice,Czech Republic
Čáslav Air Base,\N,Caslav,Czech Republic
Hradec Králové Airport,\N,Hradec Kralove,Czech Republic
Hořovice Airport,\N,Horovice,Czech Republic
Kbely Air Base,\N,Praha,Czech Republic
Kunovice Airport,UHE,Kunovice,Czech Republic
Karlovy Vary International Airport,KLV,Karlovy Vary,Czech Republic
Plzeň-Líně Airport,\N,Line,Czech Republic
Mnichovo Hradiště Airport,\N,Mnichovo Hradiste,Czech Republic
Ostrava Leos Janáček Airport,OSR,Ostrava,Czech Republic
Náměšť Air Base,\N,Namest,Czech Republic
Pardubice Airport,PED,Pardubice,Czech Republic
Pribram Airport,\N,Pribram,Czech Republic
Přerov Air Base,PRV,Prerov,Czech Republic
Václav Havel Airport Prague,PRG,Prague,Czech Republic
Brno-Tuřany Airport,BRQ,Brno,Czech Republic
Vodochody Airport,VOD,Vodochody,Czech Republic
Ben Gurion International Airport,TLV,Tel-aviv,Israel
Beersheba (Teyman,BEV,Beer-sheba,Israel
Tel Nof Air Base,\N,Tel-nof,Israel
Ein Shemer Airfield,\N,Eyn-shemer,Israel
Eilat Airport,ETH,Elat,Israel
Ein Yahav Airfield,EIY,Eyn-yahav,Israel
Haifa International Airport,HFA,Haifa,Israel
Hatzor Air Base,\N,Haztor,Israel
Ben Ya'akov Airport,RPN,Rosh Pina,Israel
Megiddo Airport,\N,Megido Airstrip,Israel
Bar Yehuda Airfield,MTZ,Metzada,Israel
Nevatim Air Base,VTM,Nevatim,Israel
Ovda International Airport,VDA,Ovda,Israel
Ramat David Air Base,\N,Ramat David,Israel
Ramon Air Base,MIP,Ramon,Israel
Sde Dov Airport,SDV,Tel-aviv,Israel
Malta International Airport,MLA,Malta,Malta
Wiener Neustadt East Airport,\N,Wiener Neustadt Ost,Austria
Wels Airport,\N,Wels,Austria
Graz Airport,GRZ,Graz,Austria
Innsbruck Airport,INN,Innsbruck,Austria
Linz Hörsching Airport,LNZ,Linz,Austria
Salzburg Airport,SZG,Salzburg,Austria
Vienna International Airport,VIE,Vienna,Austria
Hinterstoisser Air Base,\N,Zeltweg,Austria
Alverca Air Base,AVR,Alverca,Portugal
Santa Maria Airport,SMA,Santa Maria (island,Portugal
Bragança Airport,BGC,Braganca,Portugal
Beja Airport / Airbase,BYJ,Beja (madeira,Portugal
Braga Municipal Aerodrome,BGZ,Braga,Portugal
Aerodromo Municipal de Coimbra,\N,Coimba,Portugal
Cascais Airport,CAT,Cascais,Portugal
Coimbra Hospital Covões Heliport,\N,Covilha,Portugal
Évora Airport,\N,Evora,Portugal
Flores Airport,FLW,Flores,Portugal
Faro Airport,FAO,Faro,Portugal
Graciosa Airport,GRW,Graciosa Island,Portugal
Horta Airport,HOR,Horta,Portugal
Lajes Airport,TER,Lajes (terceira Island,Portugal
Monte Real Air Base,QLR,Monte Real,Portugal
Montijo Air Base,\N,Montijo,Portugal
Ovar Air Base,\N,Ovar,Portugal
João Paulo II Airport,PDL,Ponta Delgada,Portugal
Pico Airport,PIX,Pico,Portugal
Portimão Airport,PRM,Portimao,Portugal
Francisco de Sá Carneiro Airport,OPO,Porto,Portugal
Porto Santo Airport,PXO,Porto Santo,Portugal
Humberto Delgado Airport (Lisbon Portela Airport,LIS,Lisbon,Portugal
São Jorge Airport,SJZ,Sao Jorge Island,Portugal
Sintra Air Base,\N,Sintra,Portugal
Tancos Airbase,\N,Tancos,Portugal
Vila Real Airport,VRL,Vila Real,Portugal
Aerodromo Goncalves Lobato (Viseu Airport,VSE,Viseu,Portugal
Mostar International Airport,OMO,Mostar,Bosnia and Herzegovina
Sarajevo International Airport,SJJ,Sarajevo,Bosnia and Herzegovina
Arad International Airport,ARW,Arad,Romania
Bacău Airport,BCM,Bacau,Romania
Tautii Magheraus Airport,BAY,Baia Mare,Romania
Băneasa International Airport,BBU,Bucharest,Romania
Mihail Kogălniceanu International Airport,CND,Constanta,Romania
Cluj-Napoca International Airport,CLJ,Cluj-napoca,Romania
Caransebeş Airport,CSB,Caransebes,Romania
Craiova Airport,CRA,Craiova,Romania
Iaşi Airport,IAS,Iasi,Romania
Oradea International Airport,OMR,Oradea,Romania
Henri Coandă International Airport,OTP,Bucharest,Romania
Sibiu International Airport,SBZ,Sibiu,Romania
Satu Mare Airport,SUJ,Satu Mare,Romania
Suceava Stefan cel Mare Airport,SCV,Suceava,Romania
Tulcea Airport,TCE,Tulcea,Romania
Transilvania Târgu Mureş International Airport,TGM,Tirgu Mures,Romania
Timişoara Traian Vuia Airport,TSR,Timisoara,Romania
Les Eplatures Airport,\N,Les Eplatures,Switzerland
Geneva Cointrin International Airport,GVA,Geneva,Switzerland
Saanen Airport,\N,Saanen,Switzerland
Sion Airport,SIR,Sion,Switzerland
Alpnach Air Base,\N,Alpnach,Switzerland
Dübendorf Air Base,\N,Dubendorf,Switzerland
Emmen Air Base,EML,Emmen,Switzerland
Mollis Airport,\N,Mollis,Switzerland
Meiringen Airport,\N,Meiringen,Switzerland
Payerne Air Base,\N,Payerne,Switzerland
Lugano Airport,LUG,Lugano,Switzerland
Bern Belp Airport,BRN,Bern,Switzerland
Grenchen Airport,ZHI,Grenchen,Switzerland
Zürich Airport,ZRH,Zurich,Switzerland
St Gallen Altenrhein Airport,ACH,Altenrhein,Switzerland
Samedan Airport,SMV,Samedan,Switzerland
Güvercinlik Airport,\N,Ankara,Turkey
Esenboğa International Airport,ESB,Ankara,Turkey
Etimesgut Air Base,ANK,Ankara,Turkey
Akıncı Air Base,\N,Ankara,Turkey
Adana Airport,ADA,Adana,Turkey
İncirlik Air Base,UAB,Adana,Turkey
Afyon Airport,AFY,Afyon,Turkey
Antalya International Airport,AYT,Antalya,Turkey
Gaziantep International Airport,GZT,Gaziantep,Turkey
İskenderun Airport,\N,Iskenderun,Turkey
Konya Airport,KYA,Konya,Turkey
Malatya Tulga Airport,\N,Malatya,Turkey
Amasya Merzifon Airport,MZH,Merzifon,Turkey
Sivas Nuri Demirağ Airport,VAS,Sivas,Turkey
Malatya Erhaç Airport,MLX,Malatya,Turkey
Kayseri Erkilet Airport,ASR,Kayseri,Turkey
Sivrihisar Airport,\N,Sivrihisar,Turkey
Tokat Airport,TJK,Tokat,Turkey
Çardak Airport,DNZ,Denizli,Turkey
Atatürk International Airport,ISL,Istanbul,Turkey
Balıkesir Merkez Airport,BZI,Balikesir,Turkey
Bandırma Airport,BDM,Bandirma,Turkey
Eskişehir Air Base,ESK,Eskisehir,Turkey
Adnan Menderes International Airport,ADB,Izmir,Turkey
Gaziemir Airport,\N,Izmir,Turkey
Çiğli Airport,IGL,Izmir,Turkey
Isparta Airport,\N,Isparta,Turkey
Kütahya Airport,\N,Kutahya,Turkey
Yalova Airport,\N,Yalova,Turkey
Cengiz Topel Airport,KCO,Topel,Turkey
Dalaman International Airport,DLM,Dalaman,Turkey
Akhisar Airport,\N,Akhisar,Turkey
Imsık Airport,BXN,Bodrum,Turkey
Samandıra Air Base,\N,Istanbul,Turkey
Elazığ Airport,EZS,Elazig,Turkey
Diyarbakir Airport,DIY,Diyabakir,Turkey
Erzincan Airport,ERC,Erzincan,Turkey
Erzurum International Airport,ERZ,Erzurum,Turkey
Trabzon International Airport,TZX,Trabzon,Turkey
Van Ferit Melen Airport,VAN,Van,Turkey
Batman Airport,BAL,Batman,Turkey
Siirt Airport,SXZ,Siirt,Turkey
Kaklıç Airport,\N,Izmir,Turkey
Selçuk Efes Airport,\N,Izmir,Turkey
Bălți International Airport,BZY,Saltsy,Moldova
Chişinău International Airport,KIV,Chisinau,Moldova
Ohrid St. Paul the Apostle Airport,OHD,Ohrid,Macedonia
Skopje Alexander the Great Airport,SKP,Skopje,Macedonia
Gibraltar Airport,GIB,Gibraltar,Gibraltar
Belgrade Nikola Tesla Airport,BEG,Belgrade,Serbia
Nis Airport,INI,Nis,Serbia
Podgorica Airport,TGD,Podgorica,Montenegro
Priština International Airport,PRN,Pristina,Serbia
Tivat Airport,TIV,Tivat,Montenegro
Vršac International Airport,\N,Vrsac,Serbia
M. R. Štefánik Airport,BTS,Bratislava,Slovakia
Košice Airport,KSC,Kosice,Slovakia
Kuchyňa Air Base,\N,Malacky,Slovakia
Piešťany Airport,PZY,Piestany,Slovakia
Sliač Airport,SLD,Sliac,Slovakia
Trenčín Airport,\N,Trencin,Slovakia
Poprad-Tatry Airport,TAT,Poprad,Slovakia
North Caicos Airport,NCA,North Caicos,Turks and Caicos Islands
Providenciales Airport,PLS,Providenciales,Turks and Caicos Islands
South Caicos Airport,XSC,South Caicos,Turks and Caicos Islands
Arroyo Barril Airport,\N,Samana,Dominican Republic
Maria Montez International Airport,BRX,Barahona,Dominican Republic
Cabo Rojo Airport,CBJ,Cabo Rojo,Dominican Republic
Casa De Campo International Airport,LRM,La Romana,Dominican Republic
Punta Cana International Airport,PUJ,Punta Cana,Dominican Republic
Gregorio Luperon International Airport,POP,Puerto Plata,Dominican Republic
Las Américas International Airport,SDQ,Santo Domingo,Dominican Republic
San Isidro Air Base,\N,San Isidoro,Dominican Republic
Cibao International Airport,STI,Santiago,Dominican Republic
Bananera Airport,\N,Bananera,Guatemala
Coban Airport,CBV,Coban,Guatemala
La Aurora Airport,GUA,Guatemala City,Guatemala
Retalhuleu Airport,RER,Retalhuleu,Guatemala
San José Airport,GSJ,San Jose,Guatemala
Goloson International Airport,LCE,La Ceiba,Honduras
Ramón Villeda Morales International Airport,SAP,San Pedro Sula,Honduras
La Laguna Airport,GJA,Guanaja,Honduras
Juan Manuel Galvez International Airport,RTB,Roatan,Honduras
Tela Airport,TEA,Tela,Honduras
Toncontín International Airport,TGU,Tegucigalpa,Honduras
Trujillo Airport,TJI,Trujillo,Honduras
Boscobel Aerodrome,OCJ,Ocho Rios,Jamaica
Norman Manley International Airport,KIN,Kingston,Jamaica
Sangster International Airport,MBJ,Montego Bay,Jamaica
Ken Jones Airport,POT,Port Antonio,Jamaica
Tinson Pen Airport,KTP,Kingston,Jamaica
General Juan N Alvarez International Airport,ACA,Acapulco,Mexico
Del Norte International Airport,NTR,Monterrey,Mexico
Jesús Terán Paredo International Airport,AGU,Aguascalientes,Mexico
